store_number,store_name,sale_dollars,percent_of_total_sales
2178,Double D Liquor Store,9.74,0.01589784119068628
2465,Sid's Beverage Shop,41.55,0.06781881945308162
2512,Hy-Vee Wine and Spirits / Iowa City,706.3199999999999,1.1528709640457426
2515,Hy-Vee Food Store #1 / Mason City,900.24,1.4693914325978865
2522,Hy-Vee Wine and Spirits / Spirit Lake,324.96,0.5304068247767364
2538,Hy-Vee Food Store #3 / Waterloo,807.84,1.318574130131828
2544,Hy-Vee Food Store / Marshalltown,75.54,0.12329804143166752
2562,Hy-Vee Food Store / Fort Dodge,1563.84,2.5525338775813995
2571,Hy-Vee Food Store #2 / Waterloo,1992.15,3.2516308344995553
2576,Hy-Vee Wine and Spirits / Storm Lake,33.0,0.053863322309306697
2587,Hy-Vee Food Store / Johnston,64.32,0.10498451184650322
2591,Hy-Vee Wine and Spirits / Atlantic,23.04,0.03760639230322504
2593,Hy-Vee Food Store / Carroll,737.46,1.20369835364307
2601,Hy-Vee Food Store / Fairfield,21.78,0.035549792724142416
2616,Hy-Vee Food and Drug / Clinton,282.24,0.4606783057145067
2619,Hy-Vee Wine and Spirits / WDM,3372.3,5.504341873444696
2633,Hy-Vee #3 / BDI / Des Moines,4124.04,6.731348355650702
2636,Hy-Vee Wine and Spirits / Hubbell,70.56,0.11516957642862667
2641,Hy-Vee Drugstore / Council Bluffs,17.82,0.029086194047025615
2643,Hy-Vee Wine and Spirits / Waterloo,7.0,0.011425553217125663
2647,Hy-Vee #7 / Cedar Rapids,486.0,0.7932598376461532
2665,Hy-Vee / Waukee,1518.72,2.4788880259875836
2670,Hy-Vee Food Store / Coralville,504.0,0.8226398316330477
2843,CVS Pharmacy #8526 / Cedar Rapids,42.0,0.06855331930275398
3162,Nash Finch / Wholesale Food,45.72,0.07462518472671219
3385,Sam's Club 8162 / Cedar Rapids,691.2,1.1281917690967511
3447,Sam's Club 6432 / Sioux City,6641.040000000001,10.83965084815146
3494,Sam's Club 6514 / Waterloo,5199.36,8.486509196427782
3524,Sam's Club 6568 / Ames,3913.92,6.388385892510353
3549,Quicker Liquor Store,237.24,0.3872283207472703
3705,Liquor Locker,37.5,0.061208320806030336
3772,Shop N Save #1 / Mlk Pkwy,187.2,0.3055519374637034
3869,Bootleggin' Barzini's Fin,6.75,0.01101749774508546
3963,Tobacco Hut #14 / Council Bluffs,33.24,0.054255055562465286
3993,New Star Liquor / W 4th S / Waterloo,80.49000000000001,0.13137753977806352
4057,Tequila's Liquor Store,413.28,0.6745646619390991
4136,Fareway Stores #983 / Grimes,1296.0,2.1153595670564083
4152,Food Land Super Markets,13.26,0.021643262237012326
4153,Fareway Stores #067 / Evansdale,1349.4,2.2025202158841957
4156,Fareway Stores #412 / Oelwein,105.04,0.17144858713241137
4158,Fareway Stores #409 / Carroll,32.52,0.05307985580298951
4167,"Iowa Street Market, Inc.",50.36,0.08219869428777833
4291,Fareway Stores #597 / Creston,71.25,0.11629580953145764
4312,I-80 Liquor / Council Bluffs,174.24,0.28439834179313933
4559,Osage Payless Foods,324.0,0.5288398917641021
4829,Central City 2,2580.6,4.212111804587783
4867,Speedy Gas N Shop,68.18,0.11128488833480396
4898,Burlington Shell,206.64,0.33728233096954957
4962,Hilltop Grocery,18.9,0.030848993686239286
4971,Fareway Stores #138 / Pleasant Hill,2295.0,3.7459492333290565
5003,Famous Liquors,17.98,0.029347349549131343
5063,Logan Convenience Store,63.36,0.10341757883386886
5102,Wilkie Liquors,11620.8,18.967724117939127
5113,"Ray's Supermarket, Inc.",206.64,0.33728233096954957
5146,Fareway Stores #153  /  W Des Moines,1349.28,2.202324349257616
5166,East Side Liquor and Groceries,206.64,0.33728233096954957
5204,Quik Stop  /  Burlington,81.6,0.133189306073922
5244,The Ox & Wren Spirits and Gifts,75.12,0.12261250823863996
5416,Depot Liquor & Grocery,112.47,0.18357599576144618
5446,Pump N Pak,21.0,0.03427665965137699
9001,Cedar Ridge Vineyards,3712.5,6.059623759797003
